fips,Agriculture,Mining,Construction,Manufacturing,Retail,Finance,Professional Services,Health Care,Government
42003,412.0,916.0,30289.0,34866.0,62578.0,39068.0,57821.0,136661.0,21188.0
42005,106.0,786.0,1074.0,1530.0,1861.0,395.0,305.0,3116.0,696.0
42007,43.0,36.0,2689.0,6686.0,6414.0,824.0,1498.0,8780.0,1821.0
42009,0.0,0.0,1310.0,2806.0,2186.0,330.0,224.0,2075.0,575.0
42011,2461.0,226.0,7460.0,31486.0,18581.0,3882.0,6224.0,29430.0,4453.0
42013,310.0,172.0,2694.0,7133.0,8025.0,908.0,1745.0,12663.0,1515.0
42015,198.0,670.0,653.0,3651.0,2497.0,513.0,454.0,5516.0,798.0
42017,560.0,142.0,17067.0,26803.0,34774.0,8102.0,15713.0,59689.0,5262.0
42019,303.0,733.0,4476.0,10821.0,10836.0,1685.0,4251.0,14730.0,3545.0
42021,89.0,78.0,1592.0,4191.0,6070.0,1444.0,1906.0,10043.0,2369.0
42023,14.0,0.0,21.0,697.0,83.0,0.0,18.0,160.0,104.0
42025,0.0,0.0,503.0,1220.0,2057.0,253.0,336.0,3501.0,843.0
42027,267.0,156.0,2879.0,4329.0,7121.0,1300.0,3004.0,9396.0,3187.0
42029,4737.0,129.0,12586.0,17886.0,23920.0,23979.0,25480.0,36322.0,4753.0
42031,91.0,167.0,591.0,1573.0,1560.0,359.0,215.0,2390.0,524.0
42033,40.0,389.0,731.0,2701.0,4354.0,675.0,462.0,5977.0,1792.0
42035,0.0,0.0,711.0,2932.0,1800.0,156.0,190.0,0.0,678.0
42037,0.0,0.0,949.0,3821.0,3219.0,513.0,883.0,2903.0,703.0
42039,387.0,242.0,868.0,6907.0,3203.0,508.0,609.0,6027.0,1694.0
42041,390.0,83.0,5100.0,8906.0,16051.0,6236.0,9141.0,21564.0,7577.0
42043,188.0,57.0,6058.0,12445.0,13753.0,5561.0,8143.0,39467.0,23794.0
42045,106.0,47.0,12160.0,12945.0,23341.0,8704.0,9457.0,47002.0,7044.0
42047,49.0,49.0,495.0,5538.0,1261.0,203.0,290.0,0.0,420.0
42049,402.0,32.0,4160.0,19201.0,13323.0,5355.0,3105.0,26624.0,4114.0
42051,313.0,750.0,1622.0,3496.0,5196.0,543.0,964.0,7412.0,2009.0
42053,0.0,0.0,0.0,159.0,77.0,0.0,11.0,278.0,45.0
42055,1514.0,187.0,2468.0,9031.0,7362.0,1107.0,1898.0,8516.0,3057.0
42057,0.0,0.0,324.0,2395.0,410.0,63.0,32.0,556.0,230.0
42059,9.0,2116.0,989.0,419.0,1234.0,232.0,165.0,0.0,515.0
42061,270.0,76.0,629.0,1200.0,1545.0,361.0,194.0,41.0,1715.0
42063,271.0,890.0,940.0,1985.0,3666.0,1473.0,659.0,4733.0,1306.0
42065,296.0,385.0,475.0,3622.0,1562.0,223.0,256.0,2305.0,560.0
42067,0.0,0.0,352.0,2114.0,736.0,199.0,0.0,597.0,247.0
42069,463.0,22.0,3717.0,10210.0,11258.0,3418.0,2657.0,20485.0,3405.0
42071,3335.0,443.0,18892.0,37215.0,29136.0,6596.0,11156.0,43677.0,4486.0
